Group,Model,Accuracy
Group 15,BP_GB,0.25
Group 15,BP_AB,0.25
Group 15,BP_RF,0.4166666666666667
Group 15,BP_GNB,0.3333333333333333
Group 15,BP_MNB,0.16666666666666666
Group 15,Glucose_KNN,0.3333333333333333
Group 15,Glucose_RF,0.4166666666666667
Group 15,Glucose_GB,0.4166666666666667
Group 15,Glucose_AB,0.25
Group 15,Glucose_GNB,0.25
Group 15,Glucose_MNB,0.0
Group 16,BP_KNN,0.5
Group 16,BP_GB,0.375
Group 16,BP_AB,0.625
Group 16,BP_RF,0.5
Group 16,BP_GNB,0.25
Group 16,BP_MNB,0.25
Group 16,Glucose_KNN,0.625
Group 16,Glucose_RF,0.5
Group 16,Glucose_GB,0.5
Group 16,Glucose_AB,0.375
Group 16,Glucose_GNB,0.625
Group 16,Glucose_MNB,0.125
Group 17,BP_KNN,1.0
Group 17,BP_GB,0.75
Group 17,BP_AB,1.0
Group 17,BP_RF,1.0
Group 17,BP_GNB,1.0
Group 17,BP_MNB,1.0
Group 17,Glucose_KNN,1.0
Group 17,Glucose_RF,1.0
Group 17,Glucose_GB,1.0
Group 17,Glucose_AB,1.0
Group 17,Glucose_GNB,1.0
Group 17,Glucose_MNB,0.5
Group 18,BP_KNN,0.2857142857142857
Group 18,BP_GB,0.2857142857142857
Group 18,BP_AB,0.42857142857142855
Group 18,BP_RF,0.2857142857142857
Group 18,BP_GNB,0.07142857142857142
Group 18,BP_MNB,0.14285714285714285
Group 18,Glucose_KNN,0.5714285714285714
Group 18,Glucose_RF,0.35714285714285715
Group 18,Glucose_GB,0.35714285714285715
Group 18,Glucose_AB,0.21428571428571427
Group 18,Glucose_GNB,0.42857142857142855
Group 18,Glucose_MNB,0.07142857142857142
Group 19,BP_KNN,1.0
Group 19,BP_GB,0.75
Group 19,BP_AB,1.0
Group 19,BP_RF,0.75
Group 19,BP_GNB,1.0
Group 19,BP_MNB,0.75
Group 19,Glucose_KNN,0.25
Group 19,Glucose_RF,0.5
Group 19,Glucose_GB,0.5
Group 19,Glucose_AB,0.5
Group 19,Glucose_GNB,0.75
Group 19,Glucose_MNB,0.5
Group 20,BP_KNN,0.5
Group 20,BP_GB,0.7
Group 20,BP_AB,0.3
Group 20,BP_RF,0.7
Group 20,BP_GNB,0.6
Group 20,BP_MNB,0.3
Group 20,Glucose_KNN,0.3
Group 20,Glucose_RF,0.4
Group 20,Glucose_GB,0.4
Group 20,Glucose_AB,0.4
Group 20,Glucose_GNB,0.5
Group 20,Glucose_MNB,0.0
Group 21,BP_KNN,1.0
Group 21,BP_GB,1.0
Group 21,BP_AB,1.0
Group 21,BP_RF,1.0
Group 21,BP_GNB,1.0
Group 21,BP_MNB,0.5
Group 21,Glucose_KNN,1.0
Group 21,Glucose_RF,1.0
Group 21,Glucose_GB,1.0
Group 21,Glucose_AB,1.0
Group 21,Glucose_GNB,1.0
Group 21,Glucose_MNB,0.5
Group 22,BP_KNN,0.4
Group 22,BP_GB,0.6
Group 22,BP_AB,0.9
Group 22,BP_RF,0.6
Group 22,BP_GNB,0.7
Group 22,BP_MNB,0.2
Group 22,Glucose_KNN,0.1
Group 22,Glucose_RF,0.4
Group 22,Glucose_GB,0.4
Group 22,Glucose_AB,0.2
Group 22,Glucose_GNB,0.4
Group 22,Glucose_MNB,0.0
Group 23,BP_KNN,0.75
Group 23,BP_GB,0.75
Group 23,BP_AB,0.75
Group 23,BP_RF,1.0
Group 23,BP_GNB,1.0
Group 23,BP_MNB,0.5
Group 23,Glucose_KNN,0.25
Group 23,Glucose_RF,0.25
Group 23,Glucose_GB,0.25
Group 23,Glucose_AB,0.25
Group 23,Glucose_GNB,0.5
Group 23,Glucose_MNB,0.5
