Group,Model,Accuracy
Group 11,Glucose_MNB,0.5
Group 11,Glucose_ENSEMBLE,0.6388888888888888
Group 12,BP_KNN,0.4444444444444444
Group 12,BP_GB,0.4074074074074074
Group 12,BP_AB,0.4537037037037037
Group 12,BP_RF,0.4537037037037037
Group 12,BP_GNB,0.4722222222222222
Group 12,BP_MNB,0.4074074074074074
Group 12,BP_ENSEMBLE,0.4722222222222222
Group 12,Glucose_KNN,0.5222222222222223
Group 12,Glucose_RF,0.4444444444444444
Group 12,Glucose_GB,0.4777777777777778
Group 12,Glucose_AB,0.3333333333333333
Group 12,Glucose_GNB,0.5666666666666667
Group 12,Glucose_MNB,0.13333333333333333
Group 12,Glucose_ENSEMBLE,0.5555555555555556
Group 13,BP_KNN,0.5238095238095238
Group 13,BP_GB,0.5952380952380952
Group 13,BP_AB,0.47619047619047616
Group 13,BP_RF,0.5952380952380952
Group 13,BP_GNB,0.6190476190476191
Group 13,BP_MNB,0.3888888888888889
Group 13,BP_ENSEMBLE,0.626984126984127
Group 13,Glucose_KNN,0.36507936507936506
Group 13,Glucose_RF,0.3333333333333333
Group 13,Glucose_GB,0.3333333333333333
Group 13,Glucose_AB,0.3333333333333333
Group 13,Glucose_GNB,0.5317460317460317
Group 13,Glucose_MNB,0.10317460317460317
Group 13,Glucose_ENSEMBLE,0.373015873015873
Group 14,BP_KNN,0.7592592592592593
Group 14,BP_GB,0.7777777777777778
Group 14,BP_AB,0.8148148148148148
Group 14,BP_RF,0.7962962962962963
Group 14,BP_GNB,0.8148148148148148
Group 14,BP_MNB,0.7777777777777778
Group 14,BP_ENSEMBLE,0.8333333333333334
Group 14,Glucose_KNN,0.7222222222222222
Group 14,Glucose_RF,0.7222222222222222
Group 14,Glucose_GB,0.7222222222222222
Group 14,Glucose_AB,0.46296296296296297
Group 14,Glucose_GNB,0.8333333333333334
Group 14,Glucose_MNB,0.3148148148148148
Group 14,Glucose_ENSEMBLE,0.7222222222222222
Group 15,BP_KNN,0.5462962962962963
Group 15,BP_GB,0.4722222222222222
Group 15,BP_AB,0.4166666666666667
Group 15,BP_RF,0.5092592592592593
Group 15,BP_GNB,0.49074074074074076
Group 15,BP_MNB,0.3333333333333333
Group 15,BP_ENSEMBLE,0.5370370370370371
Group 15,Glucose_KNN,0.4166666666666667
Group 15,Glucose_RF,0.4166666666666667
